run,name,N_incl,far_incl,ul90_incl,N_excl,far_excl,ul90_excl,ratio,gnet,gH,gL,gnet_pass
O4a,GW231206_233901,5,0.008662467689289922,0.012651681322158652,5,0.008662467689289922,0.012651681322158652,1.0,1.315056189168061,1.094964623451233,0.7648056745529175,1
O4a,GW230922_040658,11,0.01905742891643783,0.023046642549306558,11,0.01905742891643783,0.023046642549306558,1.0,1.930586635084926,1.7191044092178345,1.0111573934555054,1
O4a,GW230824_033047,10,0.02018818891947589,0.02483669101779103,9,0.018169370027528303,0.022817872125843443,1.111111111111111,6.35875791793656,2.7877771854400635,6.204864501953125,1
O4a,GW230707_124047,112,0.22610771589812997,0.2307562179964451,71,0.14333614132827882,0.14798464342659395,1.5774647887323945,1.4289781723889161,-0.14578881859779358,2.1666691303253174,1
O4b,GW240621_195059,0,0.0,0.003695687062785638,0,0.0,0.003695687062785638,inf,5.874342945989206,3.376641035079956,4.930934429168701,1
O4b,GW240920_124024,0,0.0,0.003695687062785638,0,0.0,0.003695687062785638,inf,9.537511501966636,6.691802978515625,6.7962751388549805,1
O4b,GW241127_061008,0,0.0,0.004426864067000331,0,0.0,0.004426864067000331,inf,5.701717715270892,4.410796165466309,3.6526503562927246,1
O4b,GW250114_082203,0,0.0,0.003695687062785638,0,0.0,0.003695687062785638,inf,6.36032932103644,5.470377445220947,3.524486541748047,1
O4b,GW241129_021832,3,0.00481504968909157,0.00851073675187721,3,0.00481504968909157,0.00851073675187721,1.0,5.772356170549939,3.3327484130859375,4.830595970153809,1
O4b,GW240615_113620,1,0.0019225627140801885,0.006349426781080519,1,0.0019225627140801885,0.006349426781080519,1.0,2.0130530133426756,1.0558286905288696,1.7910581827163696,1
O4b,GW240925_005809,0,0.0,0.004426864067000331,0,0.0,0.004426864067000331,inf,9.166400745808089,4.683544158935547,8.279704093933105,1
O4b,GW241225_082815,3,0.00481504968909157,0.00851073675187721,3,0.00481504968909157,0.00851073675187721,1.0,1.798133209409437,0.9371326565742493,1.6058117151260376,1
O4b,GW250119_025138,7,0.011235115941213665,0.014930803003999302,5,0.008025082815152617,0.011720769877938256,1.4000000000000001,2.6283997832937303,2.448230504989624,1.2688881158828735,1
O4b,GW241102_124058,3,0.005767688142240565,0.010194552209240896,3,0.005767688142240565,0.010194552209240896,1.0,4.779481449579764,3.0725016593933105,3.6867058277130127,1
O4b,GW241102_144729,5,0.009612813570400941,0.014039677637401275,5,0.009612813570400941,0.014039677637401275,1.0,1.1923084662082064,1.0677297115325928,0.6184490919113159,1
O4b,GW240919_061559,5,0.008025082815152617,0.011720769877938256,5,0.008025082815152617,0.011720769877938256,1.0,2.379317387684653,1.5234249830245972,1.8414379358291626,1
O4b,GW240705_053215,4,0.0064200662521220935,0.010115753314907732,4,0.0064200662521220935,0.010115753314907732,1.0,1.1328144806124105,-1.7748218774795532,3.376863479614258,1
O4b,GW250118_170523,5,0.009612813570400941,0.014039677637401275,5,0.009612813570400941,0.014039677637401275,1.0,1.333648133423732,0.5010796189308167,1.3849836587905884,1
O4b,GW240514_121713,12,0.01926019875636628,0.02295588581915192,10,0.016050165630305233,0.019745852693090874,1.2000000000000002,0.7037243280061541,2.308173656463623,-1.3129571676254272,1
O4b,GW241130_034908,45,0.08651532213360848,0.09094218620060882,31,0.05959944413648584,0.06402630820348618,1.4516129032258065,1.2767827203290152,3.74237060546875,-1.9367271661758423,1
O4b,GW250108_152221,120,0.1926019875636628,0.19629767462644843,61,0.09790601034486193,0.10160169740764757,1.9672131147540983,-1.060834786173202,0.5786736607551575,-2.078920602798462,1
O4b,GW241006_015333,73,0.11716620910122821,0.12086189616401384,41,0.06580567908425146,0.0695013661470371,1.7804878048780488,-0.29271393007904034,-0.1481172740459442,-0.2658427357673645,1
O4b,GW240406_062847,184,0.2953230475976163,0.2990187346604019,66,0.10593109316001455,0.10962678022280017,2.7878787878787876,4.299578213471804,2.790975332260132,3.289546489715576,1
