run,name,gps,seg,net,loglr,cnn_hm,cnn_lm,channel,N_bg,livetime_yr,trials,far,far_lo90,far_hi90,far_ul90,ifar,mtot,snr_cat,cwb,source,far_asrun,detection_and_ul
O4b,GW241127_061008,1416723026.0,o4b_1416715659,8.764583800268364,10.92296987821967,0.9999793767929077,0.999932050704956,loglr,0,520.139,1.0,0.0,0.0,0.005759483170501571,0.004426864245787216,inf,85.3,31.3,True,as-run,0.0,True
O4b,GW250114_082203,1420878141.0,o4b_1420865976,8.844647263236542,22.080490543893532,0.999998927116394,0.9999998807907104,loglr,0,623.047,1.0,0.0,0.0,0.00480819991745924,0.0036956872120426218,inf,66.0,78.6,True,as-run,0.0,True
O4b,GW241129_021832,1416881931.0,o4b_1416856624,6.431741651558839,9.369850682287844,0.9995092153549194,0.9999731779098511,net-sigma,1,623.047,1.0,0.0016050165630305234,8.232658706441918e-05,0.007613981124789693,0.0062430652981911245,623.0465298824349,53.3,16.7,True,as-run,0.0064200662521220935,True
O4b,GW240615_113620,1402486599.0,o4b_1402436028,8.908875331120765,8.277783786335405,0.9997981190681458,0.9999951124191284,net-sigma,1,520.139,1.0,0.0019225627140801885,9.861457527184324e-05,0.009120377043705694,0.007478230966792776,520.1390793009475,60.4,26.4,True,as-run,0.007690250856320754,True
O4b,GW240925_005809,1411261108.0,o4b_1411261077,6.374506080134981,14.912176389696658,0.9991812109947205,0.9999998807907104,loglr,1,520.139,1.0,0.0019225627140801885,9.861457527184324e-05,0.009120377043705694,0.007478230966792776,520.1390793009475,16.07,31.2,True,as-run,0.007690250856320754,True
O4b,GW241225_082815,1419150514.0,o4b_1419143196,8.75868848229685,8.365968743665913,0.9994599223136902,0.9991639852523804,net-sigma,2,623.047,1.0,0.0032100331260610467,0.000570361110534901,0.01010485304052647,0.00854241229597812,311.52326494121746,98.0,19.5,True,as-run,0.012840132504244187,True
O4b,GW250119_025138,1421290317.0,o4b_1421266189,6.896572000499066,6.533985920274647,0.9988173842430115,0.9980644583702087,net-sigma,4,623.047,1.0,0.0064200662521220935,0.0021929636571567887,0.01469154964776834,0.01282984368368278,155.76163247060873,59.9,14.5,True,as-run,0.025680265008488374,True
O4b,GW241102_124058,1414586477.0,o4b_1414581583,4.427790450229144,6.38201206871963,0.9963309168815613,0.999816358089447,loglr,12,520.139,1.0,0.02307075256896226,0.013312232802986197,0.037379558859613665,0.03418621354092388,43.34492327507896,19.01,21.7,True,as-run,0.09228301027584904,True
O4b,GW241102_144729,1414594068.0,o4b_1414581583,5.6504331793251374,4.1118094655305955,0.9591795206069946,0.9998132586479187,net-sigma,18,520.139,1.0,0.03460612885344339,0.022367680054117583,0.05131660237365298,0.04759551992624655,28.896615516719304,75.1,12.7,True,as-run,0.13842451541377357,True
O4b,GW240919_061559,1410761777.0,o4b_1410734419,7.468804038310143,7.240621468140432,0.9956225752830505,0.9998779296875,loglr,22,623.047,1.0,0.03531036438667152,0.023904697042837774,0.050421290704615374,0.04705951687657809,28.32029681283795,67.8,16.9,True,as-run,0.14124145754668607,True
O4b,GW240705_053215,1404192754.0,o4b_1404188078,6.747316918854041,7.347426116206259,0.9816423654556274,0.9997333884239197,loglr,24,623.047,1.0,0.03852039751273256,0.026561481239396112,0.05417316629809249,0.050692137726572016,25.960272078434787,81.9,16.8,True,as-run,0.15408159005093025,True
O4b,GW250118_170523,1421255141.0,o4b_1421184750,6.182754098181921,5.437647115754492,0.03690408170223236,0.9982670545578003,loglr,29,520.139,1.0,0.055754318708325465,0.03988544230461686,0.07601999891464864,0.0715164546176343,17.935830320722328,67.8,13.9,True,as-run,0.22301727483330186,True
O4b,GW240514_121713,1399724252.0,o4b_1399715855,6.837286422943493,4.86468684095299,0.9907930493354797,0.999380350112915,net-sigma,72,623.047,1.0,0.11556119253819769,0.09410876696054006,0.14059749862449286,0.13504821714942275,8.65342402614493,82.7,16.9,True,as-run,0.46224477015279075,True
O4b,GW241130_034908,1416973767.0,o4b_1416973307,4.502146879459767,5.736695116828841,0.603163480758667,0.9414799213409424,loglr,80,520.139,1.0,0.15380501712641506,0.1266546408676369,0.18523898109329826,0.17827317049110242,6.501738491261844,54.2,13.8,True,as-run,0.6152200685056602,True
O4b,GW250108_152221,1420384960.0,o4b_1420381963,5.859774818078915,4.1766367963069655,0.9887162446975708,0.9911928772926331,net-sigma,107,623.047,1.0,0.171736772244266,0.14537065830673393,0.2016593859392481,0.19503199226759674,5.822864765256401,90.0,11.8,True,as-run,0.686947088977064,True
O4b,GW241006_015333,1412214831.0,o4b_1412190484,6.762447755852167,4.5296581146092,0.7280213236808777,0.993416428565979,net-sigma,213,623.047,1.0,0.3418685279255015,0.30427255821580074,0.38298439148675284,0.3738862805749874,2.9251010792602576,44.9,17.6,True,trials-promoted,1.367474111702006,True
O4b,GW240406_062847,1396420146.0,o4b_1396417050,4.238568922355137,5.171607657043706,0.07837703078985214,0.9222126007080078,loglr,366,623.047,1.0,0.5874360620691715,0.5378583555796831,0.6405124392386455,0.6287735094718186,1.7023129231760519,,11.3,False,trials-promoted,2.349744248276686,True
